:START_ID,:END_ID,:TYPE,evidenceStatus
regulation:saml,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:saml,governance:formal-standard,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:oauth2,regulation-category:identity-and-access,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:oauth2,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:oauth2,governance:formal-standard,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:oidc,regulation-category:identity-and-access,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:oidc,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:oidc,governance:community,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:scim,regulation-category:identity-and-access,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:scim,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:scim,governance:formal-standard,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:did,regulation-category:agent-identity-and-trust,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:did,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:did,governance:formal-standard,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:verifiable-credentials,regulation-category:agent-identity-and-trust,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:verifiable-credentials,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:verifiable-credentials,governance:formal-standard,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:acp,regulation-category:agent-interaction,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:acp,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:acp,governance:foundation,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:ag-ui,regulation-category:agent-interaction,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:ag-ui,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:ag-ui,governance:community,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
regulation:ap2,regulation-category:agent-interaction,IN_REGULATION_CATEGORY,DIRECT_OBSERVATION
regulation:ap2,jurisdiction:global,APPLIES_IN,NORMALISED_FROM_SOURCE
regulation:ap2,governance:community,HAS_GOVERNANCE_TYPE,DIRECT_OBSERVATION
standard:odrl,regulation:odrl,DESCRIBES_SAME_RESOURCE_AS,IDENTITY_CONFIRMED
regulation:odrl,standard:odrl,DESCRIBES_SAME_RESOURCE_AS,IDENTITY_CONFIRMED
standard:opa,regulation:opa,DESCRIBES_SAME_RESOURCE_AS,IDENTITY_CONFIRMED
regulation:opa,standard:opa,DESCRIBES_SAME_RESOURCE_AS,IDENTITY_CONFIRMED
mapping:csa-ccm-to-nist-csf,regulation:csa-ccm,SOURCE_ENTRY,OFFICIAL_SOURCE
mapping:csa-ccm-to-nist-csf,regulation:nist-csf,TARGET_ENTRY,OFFICIAL_SOURCE
mapping:csa-ccm-to-nist-csf,mapping-relation:maps-to,HAS_MAPPING_RELATION,OFFICIAL_SOURCE
mapping:csa-ccm-to-nist-csf,mapping-authority:source-author,HAS_AUTHORITY_TYPE,OFFICIAL_SOURCE
mapping:csa-ccm-to-iso-27001,regulation:csa-ccm,SOURCE_ENTRY,OFFICIAL_SOURCE
mapping:csa-ccm-to-iso-27001,regulation:iso-27001,TARGET_ENTRY,OFFICIAL_SOURCE
mapping:csa-ccm-to-iso-27001,mapping-relation:maps-to,HAS_MAPPING_RELATION,OFFICIAL_SOURCE
mapping:csa-ccm-to-iso-27001,mapping-authority:source-author,HAS_AUTHORITY_TYPE,OFFICIAL_SOURCE
mapping:eu-cloud-coc-to-gdpr,regulation:eu-cloud-coc,SOURCE_ENTRY,OFFICIAL_SOURCE
mapping:eu-cloud-coc-to-gdpr,regulation:gdpr,TARGET_ENTRY,OFFICIAL_SOURCE
mapping:eu-cloud-coc-to-gdpr,mapping-relation:supports-evidence-for,HAS_MAPPING_RELATION,OFFICIAL_SOURCE
mapping:eu-cloud-coc-to-gdpr,mapping-authority:regulator-issued,HAS_AUTHORITY_TYPE,OFFICIAL_SOURCE
component-mapping:data-product-definition-odps,component-type:data-product-definition,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:data-product-definition-odps,standard:odps,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:data-contract-definition-odcs,component-type:data-contract-definition,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:data-contract-definition-odcs,standard:odcs,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:semantic-description-ossie,component-type:semantic-description,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:semantic-description-ossie,standard:ossie,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:trigger-invocation-cloudevents,component-type:trigger-invocation,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:trigger-invocation-cloudevents,standard:cloudevents,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:workload-planning-airflow,component-type:workload-planning,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:workload-planning-airflow,standard:airflow,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:workload-planning-prefect,component-type:workload-planning,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:workload-planning-prefect,standard:prefect,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:workload-planning-temporal,component-type:workload-planning,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:workload-planning-temporal,standard:temporal,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:secure-read-access-opa,component-type:secure-read-access,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:secure-read-access-opa,standard:opa,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:source-connectivity-adbc,component-type:source-connectivity,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:source-connectivity-adbc,standard:adbc,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:source-connectivity-jdbc,component-type:source-connectivity,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:source-connectivity-jdbc,standard:jdbc,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:source-connectivity-odbc,component-type:source-connectivity,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:source-connectivity-odbc,standard:odbc,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:source-connectivity-http,component-type:source-connectivity,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:source-connectivity-http,standard:http,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:workload-execution-orchestration-airflow,component-type:workload-execution-orchestration,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:workload-execution-orchestration-airflow,standard:airflow,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:workload-execution-orchestration-prefect,component-type:workload-execution-orchestration,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:workload-execution-orchestration-prefect,standard:prefect,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:workload-execution-orchestration-temporal,component-type:workload-execution-orchestration,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:workload-execution-orchestration-temporal,standard:temporal,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:workload-execution-orchestration-dbt,component-type:workload-execution-orchestration,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:workload-execution-orchestration-dbt,standard:dbt,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:lineage-emission-openlineage,component-type:lineage-emission,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:lineage-emission-openlineage,standard:openlineage,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:state-and-idempotency-airflow,component-type:state-and-idempotency,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:state-and-idempotency-airflow,standard:airflow,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:state-and-idempotency-prefect,component-type:state-and-idempotency,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:state-and-idempotency-prefect,standard:prefect,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:state-and-idempotency-temporal,component-type:state-and-idempotency,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:state-and-idempotency-temporal,standard:temporal,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:validation-and-contract-binding-odcs,component-type:validation-and-contract-binding,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:validation-and-contract-binding-odcs,standard:odcs,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:validation-and-contract-binding-dbt-tests,component-type:validation-and-contract-binding,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:validation-and-contract-binding-dbt-tests,standard:dbt-tests,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:failure-isolation-airflow,component-type:failure-isolation,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:failure-isolation-airflow,standard:airflow,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:failure-isolation-prefect,component-type:failure-isolation,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:failure-isolation-prefect,standard:prefect,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:failure-isolation-temporal,component-type:failure-isolation,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:failure-isolation-temporal,standard:temporal,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:secure-write-access-opa,component-type:secure-write-access,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:secure-write-access-opa,standard:opa,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:metadata-registration-iceberg-catalog,component-type:metadata-registration,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:metadata-registration-iceberg-catalog,standard:iceberg-catalog,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:store-write-data-product-iceberg,component-type:store-write-data-product,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:store-write-data-product-iceberg,standard:iceberg,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:store-write-data-product-delta,component-type:store-write-data-product,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:store-write-data-product-delta,standard:delta,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
component-mapping:store-write-data-product-hudi,component-type:store-write-data-product,MAPS_COMPONENT_TYPE,CURATED_DESIGN_MAPPING
component-mapping:store-write-data-product-hudi,standard:hudi,IMPLEMENTATION_OPTION,CURATED_DESIGN_MAPPING
